cohort,study_version,task,replicate,condition,observation_id,content_score,final_score,delivery_pass,initial_content_score,initial_final_score,workflow_status,score_provenance,source_commit
primary_retrieval,E2T12V2,T1,1,C0,E2S-CDB1564037EF,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,1,C1,E2S-6F632B748CE5,9,9,1,9,9,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,2,C0,E2S-3506BDAB3F88,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,2,C1,E2S-434C8DCC3D27,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,3,C0,E2S-E1C885E1D579,9,9,1,9,9,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,3,C1,E2S-07CE4BA815DD,8,8,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,4,C0,E2S-546755F5B2A1,9,9,1,9,9,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,4,C1,E2S-57F74F234664,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,5,C0,E2S-D7BC77EE60FD,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T1,5,C1,E2S-B0D6D32D2E29,8,8,1,9,9,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,1,C0,E2S-018895B730A0,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,1,C1,E2S-EA4AE19048CF,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,2,C0,E2S-FF0954AD8077,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
