observation_id,condition_code,replicate,item_id,submission_state,correct
E4V3-T3-K1-P1,M0R0,1,1,accepted,True
E4V3-T3-K1-P1,M0R0,1,2,accepted,False
E4V3-T3-K1-P1,M0R0,1,3,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,4,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,5,accepted,True
E4V3-T3-K1-P1,M0R0,1,6,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,7,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,8,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,9,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,10,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,11,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,12,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,13,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,14,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,15,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,16,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,17,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,18,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,19,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,20,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,21,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,22,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,23,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,24,not_attempted,False
E4V3-T3-K1-P1,M0R0,1,25,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,1,accepted,True
E4V3-T3-K1-P2,M0R1,1,2,accepted,True
E4V3-T3-K1-P2,M0R1,1,3,accepted,False
E4V3-T3-K1-P2,M0R1,1,4,accepted,False
E4V3-T3-K1-P2,M0R1,1,5,accepted,True
E4V3-T3-K1-P2,M0R1,1,6,accepted,True
E4V3-T3-K1-P2,M0R1,1,7,accepted,False
E4V3-T3-K1-P2,M0R1,1,8,accepted,False
E4V3-T3-K1-P2,M0R1,1,9,accepted,False
E4V3-T3-K1-P2,M0R1,1,10,accepted,True
