observation_id,condition_code,replicate,run_order,correct_items,submitted_items,attempt_count,provider_calls,prompt_tokens,completion_tokens,total_tokens,model_call_seconds,model_call_minutes,prompt_token_fraction,budget_exception_recorded,budget_exception_attempts,token_crossing_attempts,zero_call_retry,top_level_tokens,top_level_undercount,failed_call_records
E4V3-T3-K1-P1,M0R0,1,1,2,3,2,14,367870,6893,374763,65.640558,1.0940093,0.9816070423174112,False,0,0,False,374763,0,0
E4V3-T3-K2-P3,M0R0,2,15,16,20,2,31,1014494,19966,1034460,177.82692,2.963782,0.980699108713725,True,2,2,False,1034460,0,2
E4V3-T3-K3-P4,M0R0,3,36,17,20,2,31,1006523,18134,1024657,155.110221,2.58517035,0.9823023704517707,True,2,2,False,1024657,0,2
E4V3-T3-K4-P2,M0R0,4,16,20,21,2,32,1022330,14730,1037060,143.221723,2.387028716666667,0.9857963859371686,True,2,2,False,1037060,0,2
E4V3-T3-K5-P1,M0R0,5,22,7,17,2,31,954029,14693,968722,151.667573,2.5277928833333334,0.9848325938711002,True,1,1,False,456658,512064,1
E4V3-T3-K6-P3,M0R0,6,39,19,20,2,32,1024856,16686,1041542,146.432885,2.4405480833333333,0.983979522669273,True,2,2,False,1041542,0,2
E4V3-T3-K7-P4,M0R0,7,6,15,18,2,28,887670,14136,901806,135.346888,2.255781466666667,0.9843247882582284,True,1,1,False,391572,510234,1
E4V3-T3-K8-P2,M0R0,8,7,17,20,2,33,1055534,16659,1072193,152.83767,2.5472945,0.9844626853560879,True,2,2,False,1072193,0,2
E4V3-T3-K9-P1,M0R0,9,28,11,11,2,21,657833,12039,669872,106.80740899999999,1.7801234833333333,0.9820279098096353,True,1,1,False,669872,0,1
E4V3-T3-K10-P3,M0R0,10,42,4,11,2,21,624377,9930,634307,103.250258,1.7208376333333333,0.9843451199498034,True,1,1,False,123956,510351,1
E4V3-T3-K11-P4,M0R0,11,12,17,20,2,31,1014883,16495,1031378,146.900243,2.448337383333333,0.9840068335760507,True,2,2,False,1031378,0,2
E4V3-T3-K12-P2,M0R0,12,43,19,24,2,34,1042630,10909,1053539,124.414032,2.0735672000000003,0.9896453762034438,True,2,2,False,1053539,0,2
E4V3-T3-K13-P1,M0R0,13,25,16,22,2,34,1047815,9394,1057209,121.901141,2.0316856833333334,0.9911143397379326,True,2,2,False,1057209,0,2
E4V3-T3-K14-P3,M0R0,14,21,3,5,2,14,394792,13230,408022,100.712032,1.6785338666666665,0.9675752778036478,False,0,0,False,408022,0,0
E4V3-T3-K15-P4,M0R0,15,33,19,22,2,31,1039938,18666,1058604,157.401392,2.6233565333333333,0.9823673441626898,True,2,2,False,1058604,0,2
E4V3-T3-K1-P2,M0R1,1,2,10,18,2,31,1026980,13057,1040037,127.177027,2.1196171166666664,0.9874456389532296,True,2,2,False,1040037,0,2
E4V3-T3-K2-P1,M0R1,2,13,15,20,2,31,1029242,11541,1040783,128.784036,2.1464005999999998,0.988911233177329,True,2,2,False,1040783,0,2
E4V3-T3-K3-P3,M0R1,3,35,12,17,2,29,1023033,16240,1039273,140.404342,2.340072366666667,0.9843736919943076,True,2,2,False,1039273,0,2
E4V3-T3-K4-P4,M0R1,4,18,8,10,2,24,764903,9821,774724,111.456132,1.8576021999999999,0.9873232273687146,True,1,1,False,242451,532273,1
E4V3-T3-K5-P2,M0R1,5,23,8,10,2,20,635335,9974,645309,102.012231,1.70020385,0.9845438386881323,True,1,1,False,126569,518740,1
E4V3-T3-K6-P1,M0R1,6,37,17,20,2,31,1034127,14674,1048801,137.670154,2.2945025666666665,0.9860087852700369,True,2,2,False,1048801,0,2
E4V3-T3-K7-P3,M0R1,7,5,12,19,2,30,996708,12487,1009195,130.906302,2.1817717,0.9876267718329956,True,2,2,False,1009195,0,2
E4V3-T3-K8-P4,M0R1,8,9,15,18,2,29,1022573,18654,1041227,155.329944,2.5888324000000003,0.9820845982672366,True,2,2,False,1041227,0,2
E4V3-T3-K9-P2,M0R1,9,29,2,3,2,10,325254,9395,334649,72.189741,1.20316235,0.971925808832538,False,0,0,True,334649,0,0
E4V3-T3-K10-P1,M0R1,10,40,10,11,2,20,648078,11248,659326,104.242848,1.7373808,0.9829401540360914,True,1,1,False,144235,515091,1
