observation_id,study_version,condition_code,replicate,correct_items,submitted_items,submitted_incorrect_items,missing_items,workflow_status
E4V3-T3-K1-P1,E4V3,M0R0,1,2,3,1,22,failed
E4V3-T3-K1-P2,E4V3,M0R1,1,10,18,8,7,failed
E4V3-T3-K1-P3,E4V3,M1R1,1,17,25,8,0,succeeded
E4V3-T3-K1-P4,E4V3,M1R0,1,21,25,4,0,succeeded
E4V3-T3-K10-P1,E4V3,M0R1,10,10,11,1,14,failed
E4V3-T3-K10-P2,E4V3,M1R0,10,19,25,6,0,succeeded
E4V3-T3-K10-P3,E4V3,M0R0,10,4,11,7,14,failed
E4V3-T3-K10-P4,E4V3,M1R1,10,0,0,0,25,failed
E4V3-T3-K11-P1,E4V3,M1R0,11,22,25,3,0,succeeded
E4V3-T3-K11-P2,E4V3,M1R1,11,9,11,2,14,failed
E4V3-T3-K11-P3,E4V3,M0R1,11,7,10,3,15,failed
E4V3-T3-K11-P4,E4V3,M0R0,11,17,20,3,5,failed
E4V3-T3-K12-P1,E4V3,M1R1,12,6,6,0,19,failed
E4V3-T3-K12-P2,E4V3,M0R0,12,19,24,5,1,failed
E4V3-T3-K12-P3,E4V3,M1R0,12,11,14,3,11,failed
E4V3-T3-K12-P4,E4V3,M0R1,12,12,19,7,6,failed
E4V3-T3-K13-P1,E4V3,M0R0,13,16,22,6,3,failed
E4V3-T3-K13-P2,E4V3,M0R1,13,14,18,4,7,failed
E4V3-T3-K13-P3,E4V3,M1R1,13,21,25,4,0,succeeded
E4V3-T3-K13-P4,E4V3,M1R0,13,21,25,4,0,succeeded
E4V3-T3-K14-P1,E4V3,M0R1,14,8,8,0,17,failed
E4V3-T3-K14-P2,E4V3,M1R0,14,13,13,0,12,failed
E4V3-T3-K14-P3,E4V3,M0R0,14,3,5,2,20,failed
E4V3-T3-K14-P4,E4V3,M1R1,14,13,16,3,9,failed
E4V3-T3-K15-P1,E4V3,M1R0,15,11,15,4,10,failed
E4V3-T3-K15-P2,E4V3,M1R1,15,20,24,4,1,failed
E4V3-T3-K15-P3,E4V3,M0R1,15,15,18,3,7,failed
E4V3-T3-K15-P4,E4V3,M0R0,15,19,22,3,3,failed
E4V3-T3-K2-P1,E4V3,M0R1,2,15,20,5,5,failed
E4V3-T3-K2-P2,E4V3,M1R0,2,21,25,4,0,succeeded
E4V3-T3-K2-P3,E4V3,M0R0,2,16,20,4,5,failed
E4V3-T3-K2-P4,E4V3,M1R1,2,16,23,7,2,failed
E4V3-T3-K3-P1,E4V3,M1R0,3,21,25,4,0,succeeded
E4V3-T3-K3-P2,E4V3,M1R1,3,8,8,0,17,failed
E4V3-T3-K3-P3,E4V3,M0R1,3,12,17,5,8,failed
E4V3-T3-K3-P4,E4V3,M0R0,3,17,20,3,5,failed
E4V3-T3-K4-P1,E4V3,M1R1,4,14,17,3,8,failed
E4V3-T3-K4-P2,E4V3,M0R0,4,20,21,1,4,failed
E4V3-T3-K4-P3,E4V3,M1R0,4,21,25,4,0,succeeded
E4V3-T3-K4-P4,E4V3,M0R1,4,8,10,2,15,failed
E4V3-T3-K5-P1,E4V3,M0R0,5,7,17,10,8,failed
E4V3-T3-K5-P2,E4V3,M0R1,5,8,10,2,15,failed
E4V3-T3-K5-P3,E4V3,M1R1,5,21,25,4,0,succeeded
E4V3-T3-K5-P4,E4V3,M1R0,5,19,25,6,0,succeeded
E4V3-T3-K6-P1,E4V3,M0R1,6,17,20,3,5,failed
E4V3-T3-K6-P2,E4V3,M1R0,6,0,0,0,25,failed
E4V3-T3-K6-P3,E4V3,M0R0,6,19,20,1,5,failed
E4V3-T3-K6-P4,E4V3,M1R1,6,21,25,4,0,succeeded
E4V3-T3-K7-P1,E4V3,M1R0,7,10,13,3,12,failed
E4V3-T3-K7-P2,E4V3,M1R1,7,23,25,2,0,succeeded
E4V3-T3-K7-P3,E4V3,M0R1,7,12,19,7,6,failed
E4V3-T3-K7-P4,E4V3,M0R0,7,15,18,3,7,failed
E4V3-T3-K8-P1,E4V3,M1R1,8,13,15,2,10,failed
E4V3-T3-K8-P2,E4V3,M0R0,8,17,20,3,5,failed
E4V3-T3-K8-P3,E4V3,M1R0,8,23,25,2,0,succeeded
E4V3-T3-K8-P4,E4V3,M0R1,8,15,18,3,7,failed
E4V3-T3-K9-P1,E4V3,M0R0,9,11,11,0,14,failed
E4V3-T3-K9-P2,E4V3,M0R1,9,2,3,1,22,failed
E4V3-T3-K9-P3,E4V3,M1R1,9,11,17,6,8,failed
E4V3-T3-K9-P4,E4V3,M1R0,9,23,25,2,0,succeeded
