Date,Fund,Benchmark,RF,Regime
2023-01-31,0.024,0.018,0.001,risk_on
2023-02-28,-0.013,-0.018,0.001,risk_off
2023-03-31,0.031,0.024,0.001,recovery
2023-04-30,0.008,0.011,0.001,risk_on
2023-05-31,-0.021,-0.016,0.001,risk_off
2023-06-30,0.017,0.013,0.001,recovery
2023-07-31,0.011,0.009,0.001,risk_on
2023-08-31,-0.009,-0.012,0.001,risk_off
2023-09-30,-0.028,-0.022,0.001,risk_off
2023-10-31,0.019,0.015,0.001,recovery
2023-11-30,0.027,0.021,0.001,risk_on
2023-12-31,0.014,0.012,0.001,risk_on
2024-01-31,-0.006,-0.008,0.001,risk_off
2024-02-29,0.022,0.017,0.001,recovery
2024-03-31,0.010,0.008,0.001,risk_on
2024-04-30,-0.017,-0.014,0.001,risk_off
2024-05-31,0.026,0.020,0.001,recovery
2024-06-30,0.006,0.007,0.001,risk_on
2024-07-31,0.015,0.011,0.001,risk_on
2024-08-31,-0.012,-0.015,0.001,risk_off
2024-09-30,0.023,0.019,0.001,recovery
2024-10-31,0.009,0.006,0.001,risk_on
2024-11-30,0.018,0.014,0.001,risk_on
2024-12-31,0.004,0.005,0.001,risk_on
