date,asset_a_return,asset_b_return,asset_c_return
2025-01-02,-0.00505000,-0.00500000,-0.00445000
2025-01-03,-0.00050000,0.00050000,0.00335000
2025-01-06,0.00405000,0.00600000,0.00095000
2025-01-07,-0.00375000,0.00000000,-0.00145000
2025-01-08,0.00080000,0.00550000,-0.00385000
2025-01-09,0.00535000,-0.00050000,0.00395000
2025-01-10,-0.00245000,0.00500000,0.00155000
2025-01-13,0.00210000,-0.00100000,-0.00085000
2025-01-14,0.00665000,0.00450000,-0.00325000
2025-01-15,-0.00115000,-0.00150000,0.00455000
2025-01-16,0.00340000,0.00400000,0.00215000
2025-01-17,-0.00440000,-0.00200000,-0.00025000
2025-01-20,0.00015000,0.00350000,-0.00265000
2025-01-21,0.00470000,-0.00250000,0.00515000
2025-01-22,-0.00310000,0.00300000,0.00275000
2025-01-23,0.00145000,-0.00300000,0.00035000
2025-01-24,0.00600000,0.00250000,-0.00205000
2025-01-27,-0.00180000,-0.00350000,-0.00445000
2025-01-28,0.00275000,0.00200000,0.00335000
2025-01-29,-0.00505000,-0.00400000,0.00095000
2025-01-30,-0.00050000,0.00150000,-0.00145000
2025-01-31,0.00405000,-0.00450000,-0.00385000
2025-02-03,-0.00375000,0.00100000,0.00395000
2025-02-04,0.00080000,-0.00500000,0.00155000
2025-02-05,0.00535000,0.00050000,-0.00085000
2025-02-06,-0.00245000,0.00600000,-0.00325000
2025-02-07,0.00210000,0.00000000,0.00455000
2025-02-10,0.00665000,0.00550000,0.00215000
2025-02-11,-0.00115000,-0.00050000,-0.00025000
2025-02-12,0.00340000,0.00500000,-0.00265000
2025-02-13,-0.00630000,-0.00225000,0.00435000
2025-02-14,-0.03975000,-0.02075000,-0.01405000
2025-02-17,0.00280000,-0.00275000,-0.00045000
2025-02-18,-0.00500000,0.00275000,-0.00285000
2025-02-19,-0.00045000,-0.00325000,-0.00525000
2025-02-20,0.00410000,0.00225000,0.00255000
2025-02-21,-0.00370000,-0.00375000,0.00015000
2025-02-24,0.00085000,0.00175000,-0.00225000
2025-02-25,-0.00695000,-0.00425000,-0.00465000
2025-02-26,-0.00240000,0.00125000,0.00315000
2025-02-27,0.00215000,-0.00475000,0.00075000
2025-02-28,-0.00565000,0.00075000,-0.00165000
2025-03-03,-0.00110000,-0.00525000,-0.00405000
2025-03-04,0.00345000,0.00025000,0.00375000
2025-03-05,-0.02735000,-0.03975000,-0.01265000
2025-03-06,0.00020000,-0.00025000,-0.00105000
2025-03-07,0.00475000,-0.00625000,-0.00345000
2025-03-10,-0.00305000,-0.00075000,0.00435000
2025-03-11,0.00150000,0.00475000,0.00195000
2025-03-12,-0.00630000,-0.00125000,-0.00045000
2025-03-13,-0.00175000,0.00425000,-0.00285000
2025-03-14,0.00280000,-0.00175000,-0.00525000
2025-03-17,-0.00500000,0.00375000,0.00255000
2025-03-18,-0.00045000,-0.00225000,0.00015000
2025-03-19,0.00410000,0.00325000,-0.00225000
2025-03-20,-0.00165000,-0.00140000,-0.00350000
2025-03-21,0.00290000,0.00410000,0.00430000
2025-03-24,-0.00490000,-0.00190000,0.00190000
2025-03-25,0.02765000,0.02060000,0.02050000
2025-03-26,0.00420000,-0.00240000,-0.00290000
2025-03-27,-0.00360000,0.00310000,0.00490000
2025-03-28,0.00095000,-0.00290000,0.00250000
2025-03-31,0.00550000,0.00260000,0.00010000
2025-04-01,-0.00230000,-0.00340000,-0.00230000
2025-04-02,0.00225000,0.00210000,0.00550000
2025-04-03,0.00680000,-0.00390000,0.00310000
2025-04-04,-0.00100000,0.00160000,0.00070000
2025-04-07,0.00355000,-0.00440000,-0.00170000
2025-04-08,-0.00425000,0.00110000,-0.00410000
2025-04-09,0.00030000,-0.00490000,0.00370000
2025-04-10,0.00485000,0.00060000,0.00130000
2025-04-11,-0.00295000,0.00610000,-0.00110000
2025-04-14,0.00160000,0.00010000,-0.00350000
2025-04-15,0.00615000,0.00560000,0.00430000
2025-04-16,-0.00165000,-0.00040000,0.00190000
2025-04-17,0.00290000,0.00510000,-0.00050000
2025-04-18,-0.01890000,-0.00990000,-0.02190000
2025-04-21,-0.00035000,0.00460000,0.00490000
2025-04-22,0.00420000,-0.00140000,0.00250000
2025-04-23,-0.00360000,0.00410000,0.00010000
2025-04-24,0.00095000,-0.00190000,-0.00230000
2025-04-25,0.00550000,0.00360000,0.00550000
